ibge7_code,snapshot,avg_yearly_deforestation,lagged_deforestation,deforest_rel_forest_area,lagged_rel_forest_area,EG_InterMunicCop,EG_envir.council,EG_envir.fund,EG_envir.person,EG_envir.agency,GE_employees,GE_consortiums,GE_masterplan,ROL_div_land,ROL_U_improvement,ROL_U_neighborhood,ROL_zoning,RQ_ag_comp,RQ_nonag_comp,RQ_ag_personnel,RQ_non_ag_personnel,RQ_enterprise_incentive_existence,RQ_enterprise_restriction_existence,VA_n_candidates,VA_n_compan_communic,VA_prop_votes,VA_webpage,VA_mayor_woman,GE,RQ,VA,TT_cities_50K,munic.area.sq.km,state,forest_area,indig_land,crop_tot,distance_road,distance_river,crop_dens,cattle_tot,cattle_dens,popden,GDP_reais,pa
1505502,TS1,145.7,155.075,0.012040327245682174,0.012815056606891992,0,1,0,-0.148380884,0,-1.06963968291492,0,1,0,1,0.5,0,1.677280129,0.561702508,0.59685334,2.604279363,1,1,-1.627011584,0.272347991,1.971648455,1,0,-0.0232132276383067,1.240019223,0.336159218,287.555507751448,19465,Para,0.5782686873876188,0.05042897508348317,44406.25,11.05,23.27,2.2813382995119444,435584.75,22.377844849730284,4.651412792191112,10351.477665887083,2.3908132648343183e-4
1505502,TS2,60.824999999999996,145.7,0.005026444095529295,0.012040327245682174,0,1,1,-0.31307616,0,-0.963429293043253,0,0.5,0,0.5,0,0.5,0.729713637,0.45442692,0.218074556,1.747735494,1,1,-0.80473129,0.204186254,1.181122536,1,0,-0.154476431014418,0.858325101,0.344097812,287.555507751448,19465,Para,0.5782686873876188,0.05042897508348317,59979.75,11.05,23.27,3.081415360904187,315927,16.230516311328024,5.081877729257642,17280.808744550453,2.3908132648343183e-4
1505502,TS3,23.7,60.824999999999996,0.001958515825138418,0.005026444095529295,0,1,1,-0.291810543,0,-0.890347569413883,0,1,1,1,1,1,0.291565371,0.362732518,0.774915429,1.285378077,1,1,-0.844180618,0.319431278,1.055769453,1,0,0.0365508101953723,0.785765233,0.302897209,287.555507751448,19465,Para,0.5782686873876188,0.05042897508348317,92617.5,11.05,23.27,4.75815566401233,332156.6,17.064300025687128,5.455291548933984,25106.081944866262,2.3908132648343183e-4
1505502,TS4,19.1,23.7,0.0015783819519048013,0.001958515825138418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507300,TS1,953.0749999999999,1339.1,0.013461511299435028,0.018913841807909604,0,1,1,-0.148380884,0,-0.621382131940843,0,1,0,1,0.5,0,-0.338437402,-0.052754268,-0.013529417,-0.202975854,1,1,-0.756854971,-0.135636298,-0.46174255,0,0,0.126205956019719,0.23205051,-0.30464938,1078.74239248462,84253,Para,0.7800909166439177,0.5432542461396034,14206.75,15.03,26.83,0.168620108482784,1661007.5,19.71452055119699,0.611227493383025,6528.792034603453,0.06102762995252395
1507300,TS2,276.9,953.0749999999999,0.003911016949152542,0.013461511299435028,0,1,1,-0.31307616,0,-1.09652301200984,0,1,0,0,0.5,0,-0.369090871,-0.525913264,-0.21422624,-0.461163884,1,1,0.817404223,-0.15324711,-1.515197986,1,0,-0.0321743373366133,0.071600957,0.075551559,1078.74239248462,84253,Para,0.7800909166439177,0.5432542461396034,18619.75,15.03,26.83,0.2209980653507887,2044965.25,24.2717202948263,1.0508438868645626,8272.20786848399,0.06102762995252395
1507300,TS3,221.6,276.9,0.0031299435028248586,0.003911016949152542,0,1,1,-0.291810543,0,-1.34807238847994,0,1,1,1,1,1,-0.382143224,-0.688372736,-0.107239871,-0.494899085,1,1,-0.844180618,-0.130061,0.570386323,1,1,-0.116024129493313,0.054557514,0.431551426,1078.74239248462,84253,Para,0.7800909166439177,0.5432542461396034,18835.5,15.03,26.83,0.22355880502771414,2212560.4,26.260909403819447,1.3511061920643774,12419.41498531863,0.06102762995252395
1507300,TS4,266.8,221.6,0.0037683615819209043,0.0031299435028248586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1504208,TS1,226.14999999999998,333.90000000000003,0.025545012989946908,0.037716028464927144,0.5,1,1,0.358521015,1,-0.489755449931856,0.25,1,1,1,1,0,-0.420264234,0.35255224,-0.047295932,2.280760108,0,1,0.113301642,0.864583249,-0.491997304,1,0,0.253414850022715,0.527625364,0.155326085,285.921410338543,15161,Para,0.5116417122881076,0.014293252423982586,13354,2.207696165,0.732492783,0.8808126113053228,578437.75,38.153007717169054,13.076677000197876,16233.62176585265,0.2669453306760768
1504208,TS2,77.275,226.14999999999998,0.008728679543657518,0.025545012989946908,0,1,1,1.881509622,1,-0.412376741148121,0.125,1,1,1,0.5,0.5,-0.46922293,0.449239297,-0.208561975,2.027327897,1,1,1.62847198,1.075974946,-0.199519819,1,0,0.23754108628396,0.633130382,0.60723804,285.921410338543,15161,Para,0.5116417122881076,0.014293252423982586,9773.75,2.207696165,0.732492783,0.6446639403733263,611250,40.31726139436713,15.154161994591385,18151.946716517465,0.2669453306760768
